Total Number of Records             12.,,,,,
             DATA SET: https://data.pmel.noaa.gov/pmel/thredds/dodsC/data/PMEL/WOA05nc/monthly/i0112an1.nc,,,,,
             World Ocean Atlas 2005,,,,,
             X: 0.5 to 12.5,,,,,
 Column  1: DATETIME is Time String,,,,,
 Column  2: TIME is Time Coordinates (days since 01-JAN-0000 00:00:00)   BAD FLAG : -1.E+34,,,,,
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34,,,,,
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34,,,,,
 Column  5: DEP is depth (m)   BAD FLAG : -1.E+34,,,,,
 Column  6: I0112AN1 is Silicate (uM)   BAD FLAG : -1.E+34,,,,,
DATETIME,TIME,LON,LAT,DEP,I0112AN1
2021-01-15,380.242,-40.5,19.5,10,1.4976
2021-02-13,409.242,-40.5,19.5,10,0.7324
2021-03-14,438.742,-40.5,19.5,10,0.9992
2021-04-14,469.242,-40.5,19.5,10,1.5337
2021-05-14,499.742,-40.5,19.5,10,1.0654
2021-06-14,530.242,-40.5,19.5,10,0.43
2021-07-14,560.742,-40.5,19.5,10,0.8052
2021-08-14,591.742,-40.5,19.5,10,0.6199
2021-09-14,622.242,-40.5,19.5,10,0.6125
2021-10-14,652.742,-40.5,19.5,10,0.4129
2021-11-14,683.742,-40.5,19.5,10,0.4998
2021-12-15,714.242,-40.5,19.5,10,0.4395
