Total Number of Records            144.,,,,,
             DATA SET: https://data.pmel.noaa.gov/pmel/thredds/dodsC/data/PMEL/WOA05nc/monthly/n0112an1.nc,,,,,
             World Ocean Atlas 2005,,,,,
             X: 0.5 to 144.5,,,,,
 Column  1: DATETIME is Time String,,,,,
 Column  2: TIME is Time Coordinates (days since 01-JAN-0000 00:00:00)   BAD FLAG : -1.E+34,,,,,
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34,,,,,
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34,,,,,
 Column  5: DEP is depth (m)   BAD FLAG : -1.E+34,,,,,
 Column  6: N0112AN1 is Nitrate (uM)   BAD FLAG : -1.E+34,,,,,
DATETIME,TIME,LON,LAT,DEP,N0112AN1
2021-01-15,380.242,-40.5,49.5,0,6.2955
2021-01-15,380.242,-40.5,49.5,10,5.4599
2021-01-15,380.242,-40.5,49.5,20,5.4901
2021-01-15,380.242,-40.5,49.5,30,6.5678
2021-01-15,380.242,-40.5,49.5,50,8.0485
2021-01-15,380.242,-40.5,49.5,75,9.3261
2021-01-15,380.242,-40.5,49.5,100,9.961
2021-01-15,380.242,-40.5,49.5,125,10.4294
2021-01-15,380.242,-40.5,49.5,150,11.1901
2021-01-15,380.242,-40.5,49.5,200,13.914
2021-01-15,380.242,-40.5,49.5,250,13.9876
2021-01-15,380.242,-40.5,49.5,300,14.6922
2021-02-13,409.242,-40.5,49.5,0,6.1871
2021-02-13,409.242,-40.5,49.5,10,5.7155
2021-02-13,409.242,-40.5,49.5,20,4.983
2021-02-13,409.242,-40.5,49.5,30,5.8866
2021-02-13,409.242,-40.5,49.5,50,7.6226
2021-02-13,409.242,-40.5,49.5,75,9.0477
2021-02-13,409.242,-40.5,49.5,100,9.9114
2021-02-13,409.242,-40.5,49.5,125,10.3246
2021-02-13,409.242,-40.5,49.5,150,10.9805
2021-02-13,409.242,-40.5,49.5,200,13.8954
2021-02-13,409.242,-40.5,49.5,250,13.9581
2021-02-13,409.242,-40.5,49.5,300,14.6998
2021-03-14,438.742,-40.5,49.5,0,6.4957
2021-03-14,438.742,-40.5,49.5,10,5.9767
2021-03-14,438.742,-40.5,49.5,20,5.7668
2021-03-14,438.742,-40.5,49.5,30,6.8429
2021-03-14,438.742,-40.5,49.5,50,8.1054
2021-03-14,438.742,-40.5,49.5,75,9.3141
2021-03-14,438.742,-40.5,49.5,100,10.0085
2021-03-14,438.742,-40.5,49.5,125,10.3868
2021-03-14,438.742,-40.5,49.5,150,11.088
2021-03-14,438.742,-40.5,49.5,200,13.9863
2021-03-14,438.742,-40.5,49.5,250,14.0732
2021-03-14,438.742,-40.5,49.5,300,14.7343
2021-04-14,469.242,-40.5,49.5,0,7.9292
2021-04-14,469.242,-40.5,49.5,10,8.6456
2021-04-14,469.242,-40.5,49.5,20,9.19
2021-04-14,469.242,-40.5,49.5,30,12.1868
2021-04-14,469.242,-40.5,49.5,50,11.2343
2021-04-14,469.242,-40.5,49.5,75,12.7523
2021-04-14,469.242,-40.5,49.5,100,10.5536
2021-04-14,469.242,-40.5,49.5,125,10.1229
2021-04-14,469.242,-40.5,49.5,150,13.0033
2021-04-14,469.242,-40.5,49.5,200,15.4242
2021-04-14,469.242,-40.5,49.5,250,12.7405
2021-04-14,469.242,-40.5,49.5,300,13.781
2021-05-14,499.742,-40.5,49.5,0,5.1313
2021-05-14,499.742,-40.5,49.5,10,6.438
2021-05-14,499.742,-40.5,49.5,20,5.1599
2021-05-14,499.742,-40.5,49.5,30,6.0834
2021-05-14,499.742,-40.5,49.5,50,6.8219
2021-05-14,499.742,-40.5,49.5,75,14.3118
2021-05-14,499.742,-40.5,49.5,100,9.8416
2021-05-14,499.742,-40.5,49.5,125,9.4536
2021-05-14,499.742,-40.5,49.5,150,13.818
2021-05-14,499.742,-40.5,49.5,200,18.7438
2021-05-14,499.742,-40.5,49.5,250,13.7812
2021-05-14,499.742,-40.5,49.5,300,13.9186
2021-06-14,530.242,-40.5,49.5,0,3.6339
2021-06-14,530.242,-40.5,49.5,10,4.3017
2021-06-14,530.242,-40.5,49.5,20,3.7157
2021-06-14,530.242,-40.5,49.5,30,4.6968
2021-06-14,530.242,-40.5,49.5,50,5.629
2021-06-14,530.242,-40.5,49.5,75,9.1618
2021-06-14,530.242,-40.5,49.5,100,10.095
2021-06-14,530.242,-40.5,49.5,125,11.3661
2021-06-14,530.242,-40.5,49.5,150,12.8837
2021-06-14,530.242,-40.5,49.5,200,16.8942
2021-06-14,530.242,-40.5,49.5,250,16.2131
2021-06-14,530.242,-40.5,49.5,300,18.4652
2021-07-14,560.742,-40.5,49.5,0,0.2561
2021-07-14,560.742,-40.5,49.5,10,0.3807
2021-07-14,560.742,-40.5,49.5,20,0.1924
2021-07-14,560.742,-40.5,49.5,30,1.0843
2021-07-14,560.742,-40.5,49.5,50,2.5783
2021-07-14,560.742,-40.5,49.5,75,6.6091
2021-07-14,560.742,-40.5,49.5,100,7.8296
2021-07-14,560.742,-40.5,49.5,125,7.6878
2021-07-14,560.742,-40.5,49.5,150,11.3398
2021-07-14,560.742,-40.5,49.5,200,12.3475
2021-07-14,560.742,-40.5,49.5,250,13.7112
2021-07-14,560.742,-40.5,49.5,300,13.6684
2021-08-14,591.742,-40.5,49.5,0,0.1483
2021-08-14,591.742,-40.5,49.5,10,0.0132
2021-08-14,591.742,-40.5,49.5,20,1.7189
2021-08-14,591.742,-40.5,49.5,30,2.1374
2021-08-14,591.742,-40.5,49.5,50,6.6862
2021-08-14,591.742,-40.5,49.5,75,9.3359
2021-08-14,591.742,-40.5,49.5,100,10.2103
2021-08-14,591.742,-40.5,49.5,125,10.3141
2021-08-14,591.742,-40.5,49.5,150,11.8373
