Total Number of Records            144.,,,,,
             DATA SET: https://data.pmel.noaa.gov/pmel/thredds/dodsC/data/PMEL/WOA05nc/monthly/p0112an1.nc,,,,,
             World Ocean Atlas 2005,,,,,
             X: 0.5 to 144.5,,,,,
 Column  1: DATETIME is Time String,,,,,
 Column  2: TIME is Time Coordinates (days since 01-JAN-0000 00:00:00)   BAD FLAG : -1.E+34,,,,,
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34,,,,,
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34,,,,,
 Column  5: DEP is depth (m)   BAD FLAG : -1.E+34,,,,,
 Column  6: P0112AN1 is Phosphate (uM)   BAD FLAG : -1.E+34,,,,,
DATETIME,TIME,LON,LAT,DEP,P0112AN1
2021-01-15,380.242,-40.5,49.5,0,0.4905
2021-01-15,380.242,-40.5,49.5,10,0.5078
2021-01-15,380.242,-40.5,49.5,20,0.5087
2021-01-15,380.242,-40.5,49.5,30,0.4984
2021-01-15,380.242,-40.5,49.5,50,0.4758
2021-01-15,380.242,-40.5,49.5,75,0.4671
2021-01-15,380.242,-40.5,49.5,100,0.5363
2021-01-15,380.242,-40.5,49.5,125,0.5806
2021-01-15,380.242,-40.5,49.5,150,0.6065
2021-01-15,380.242,-40.5,49.5,200,0.5182
2021-01-15,380.242,-40.5,49.5,250,0.7069
2021-01-15,380.242,-40.5,49.5,300,0.7782
2021-02-13,409.242,-40.5,49.5,0,0.657
2021-02-13,409.242,-40.5,49.5,10,0.6917
2021-02-13,409.242,-40.5,49.5,20,0.6857
2021-02-13,409.242,-40.5,49.5,30,0.6832
2021-02-13,409.242,-40.5,49.5,50,0.6491
2021-02-13,409.242,-40.5,49.5,75,0.683
2021-02-13,409.242,-40.5,49.5,100,0.7211
2021-02-13,409.242,-40.5,49.5,125,0.7392
2021-02-13,409.242,-40.5,49.5,150,0.8181
2021-02-13,409.242,-40.5,49.5,200,0.7059
2021-02-13,409.242,-40.5,49.5,250,0.8468
2021-02-13,409.242,-40.5,49.5,300,0.906
2021-03-14,438.742,-40.5,49.5,0,0.5884
2021-03-14,438.742,-40.5,49.5,10,0.7273
2021-03-14,438.742,-40.5,49.5,20,0.7398
2021-03-14,438.742,-40.5,49.5,30,0.7356
2021-03-14,438.742,-40.5,49.5,50,0.6086
2021-03-14,438.742,-40.5,49.5,75,0.7541
2021-03-14,438.742,-40.5,49.5,100,0.7874
2021-03-14,438.742,-40.5,49.5,125,0.7809
2021-03-14,438.742,-40.5,49.5,150,0.7857
2021-03-14,438.742,-40.5,49.5,200,0.7429
2021-03-14,438.742,-40.5,49.5,250,0.8456
2021-03-14,438.742,-40.5,49.5,300,0.7786
2021-04-14,469.242,-40.5,49.5,0,0.3756
2021-04-14,469.242,-40.5,49.5,10,0.4382
