Total Number of Records            144.,,,,,
             DATA SET: https://data.pmel.noaa.gov/pmel/thredds/dodsC/data/PMEL/WOA05nc/monthly/t0112an1.nc,,,,,
             World Ocean Atlas 2005,,,,,
             X: 0.5 to 144.5,,,,,
 Column  1: DATETIME is Time String,,,,,
 Column  2: TIME is Time Coordinates (days since 01-JAN-0000 00:00:00)   BAD FLAG : -1.E+34,,,,,
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34,,,,,
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34,,,,,
 Column  5: DEP is depth (m)   BAD FLAG : -1.E+34,,,,,
 Column  6: T0112AN1 is Temperature (deg C)   BAD FLAG : -1.E+34,,,,,
DATETIME,TIME,LON,LAT,DEP,T0112AN1
2021-01-15,380.242,-40.5,49.5,0,10.3087
2021-01-15,380.242,-40.5,49.5,10,10.3827
2021-01-15,380.242,-40.5,49.5,20,10.4081
2021-01-15,380.242,-40.5,49.5,30,10.4093
2021-01-15,380.242,-40.5,49.5,50,10.4335
2021-01-15,380.242,-40.5,49.5,75,10.5058
2021-01-15,380.242,-40.5,49.5,100,10.4983
2021-01-15,380.242,-40.5,49.5,125,10.4791
2021-01-15,380.242,-40.5,49.5,150,10.2824
2021-01-15,380.242,-40.5,49.5,200,9.8942
2021-01-15,380.242,-40.5,49.5,250,9.5166
2021-01-15,380.242,-40.5,49.5,300,8.8043
2021-02-13,409.242,-40.5,49.5,0,9.7721
2021-02-13,409.242,-40.5,49.5,10,9.8369
2021-02-13,409.242,-40.5,49.5,20,9.8415
2021-02-13,409.242,-40.5,49.5,30,9.841
2021-02-13,409.242,-40.5,49.5,50,9.8615
2021-02-13,409.242,-40.5,49.5,75,9.8096
2021-02-13,409.242,-40.5,49.5,100,9.8235
2021-02-13,409.242,-40.5,49.5,125,9.7059
2021-02-13,409.242,-40.5,49.5,150,9.5917
2021-02-13,409.242,-40.5,49.5,200,9.2453
2021-02-13,409.242,-40.5,49.5,250,8.9022
2021-02-13,409.242,-40.5,49.5,300,8.5573
2021-03-14,438.742,-40.5,49.5,0,9.6157
2021-03-14,438.742,-40.5,49.5,10,9.6354
2021-03-14,438.742,-40.5,49.5,20,9.6379
2021-03-14,438.742,-40.5,49.5,30,9.6153
2021-03-14,438.742,-40.5,49.5,50,9.554
2021-03-14,438.742,-40.5,49.5,75,9.4317
2021-03-14,438.742,-40.5,49.5,100,9.4443
2021-03-14,438.742,-40.5,49.5,125,9.3123
2021-03-14,438.742,-40.5,49.5,150,9.202
2021-03-14,438.742,-40.5,49.5,200,8.822
2021-03-14,438.742,-40.5,49.5,250,8.5804
2021-03-14,438.742,-40.5,49.5,300,8.1667
2021-04-14,469.242,-40.5,49.5,0,10.0602
2021-04-14,469.242,-40.5,49.5,10,10.0461
2021-04-14,469.242,-40.5,49.5,20,10.0025
2021-04-14,469.242,-40.5,49.5,30,9.978
2021-04-14,469.242,-40.5,49.5,50,9.8262
2021-04-14,469.242,-40.5,49.5,75,9.7445
2021-04-14,469.242,-40.5,49.5,100,9.7015
2021-04-14,469.242,-40.5,49.5,125,9.5278
2021-04-14,469.242,-40.5,49.5,150,9.4229
2021-04-14,469.242,-40.5,49.5,200,9.009
2021-04-14,469.242,-40.5,49.5,250,8.5376
2021-04-14,469.242,-40.5,49.5,300,8.258
2021-05-14,499.742,-40.5,49.5,0,10.4193
2021-05-14,499.742,-40.5,49.5,10,10.4132
2021-05-14,499.742,-40.5,49.5,20,10.3789
2021-05-14,499.742,-40.5,49.5,30,10.3161
2021-05-14,499.742,-40.5,49.5,50,10.1664
2021-05-14,499.742,-40.5,49.5,75,9.9553
2021-05-14,499.742,-40.5,49.5,100,9.7618
2021-05-14,499.742,-40.5,49.5,125,9.5365
2021-05-14,499.742,-40.5,49.5,150,9.3482
2021-05-14,499.742,-40.5,49.5,200,9.0078
2021-05-14,499.742,-40.5,49.5,250,8.4902
2021-05-14,499.742,-40.5,49.5,300,8.0118
2021-06-14,530.242,-40.5,49.5,0,11.8797
2021-06-14,530.242,-40.5,49.5,10,11.6952
2021-06-14,530.242,-40.5,49.5,20,11.5445
2021-06-14,530.242,-40.5,49.5,30,11.401
2021-06-14,530.242,-40.5,49.5,50,11.059
2021-06-14,530.242,-40.5,49.5,75,10.6809
2021-06-14,530.242,-40.5,49.5,100,10.4161
2021-06-14,530.242,-40.5,49.5,125,10.0679
2021-06-14,530.242,-40.5,49.5,150,9.7877
2021-06-14,530.242,-40.5,49.5,200,9.2587
2021-06-14,530.242,-40.5,49.5,250,8.7543
2021-06-14,530.242,-40.5,49.5,300,8.1807
2021-07-14,560.742,-40.5,49.5,0,14.2045
2021-07-14,560.742,-40.5,49.5,10,14.0765
2021-07-14,560.742,-40.5,49.5,20,13.7876
2021-07-14,560.742,-40.5,49.5,30,13.3136
2021-07-14,560.742,-40.5,49.5,50,12.2531
2021-07-14,560.742,-40.5,49.5,75,11.5882
2021-07-14,560.742,-40.5,49.5,100,11.0962
2021-07-14,560.742,-40.5,49.5,125,10.7666
2021-07-14,560.742,-40.5,49.5,150,10.3762
2021-07-14,560.742,-40.5,49.5,200,9.8103
2021-07-14,560.742,-40.5,49.5,250,8.8964
2021-07-14,560.742,-40.5,49.5,300,8.1148
2021-08-14,591.742,-40.5,49.5,0,15.5641
2021-08-14,591.742,-40.5,49.5,10,15.4493
2021-08-14,591.742,-40.5,49.5,20,15.1101
2021-08-14,591.742,-40.5,49.5,30,14.3391
2021-08-14,591.742,-40.5,49.5,50,12.6342
2021-08-14,591.742,-40.5,49.5,75,11.567
2021-08-14,591.742,-40.5,49.5,100,11.0623
2021-08-14,591.742,-40.5,49.5,125,10.7822
2021-08-14,591.742,-40.5,49.5,150,10.4405
2021-08-14,591.742,-40.5,49.5,200,9.7423
2021-08-14,591.742,-40.5,49.5,250,9.144
2021-08-14,591.742,-40.5,49.5,300,8.1812
2021-09-14,622.242,-40.5,49.5,0,15.0916
2021-09-14,622.242,-40.5,49.5,10,15.0903
2021-09-14,622.242,-40.5,49.5,20,14.952
2021-09-14,622.242,-40.5,49.5,30,14.5716
2021-09-14,622.242,-40.5,49.5,50,13.2285
2021-09-14,622.242,-40.5,49.5,75,11.9268
2021-09-14,622.242,-40.5,49.5,100,11.234
