https://data.pmel.noaa.gov/pmel/thredds/dodsC/data/PMEL/WOA05nc/monthly/n0112an1.nc,,,,,
             World Ocean Atlas 2005,,,,,
             X: 0.5 to 144.5,,,,,
 Column  1: DATETIME is Time String,,,,,
 Column  2: TIME is Time Coordinates (days since 01-JAN-0000 00:00:00)   BAD FLAG : -1.E+34,,,,,
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34,,,,,
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34,,,,,
 Column  5: DEP is depth (m)   BAD FLAG : -1.E+34,,,,,
 Column  6: N0112AN1 is Nitrate (uM)   BAD FLAG : -1.E+34,,,,,
DATETIME,TIME,LON,LAT,DEP,N0112AN1
2021-01-15,380.242,-40.5,19.5,0,0.0003
2021-01-15,380.242,-40.5,19.5,10,0.3564
2021-01-15,380.242,-40.5,19.5,20,0.2799
2021-01-15,380.242,-40.5,19.5,30,0.0422
2021-01-15,380.242,-40.5,19.5,50,0
2021-01-15,380.242,-40.5,19.5,75,0
2021-01-15,380.242,-40.5,19.5,100,0
2021-01-15,380.242,-40.5,19.5,125,0.0291
2021-01-15,380.242,-40.5,19.5,150,0.4989
2021-01-15,380.242,-40.5,19.5,200,4.5054
2021-01-15,380.242,-40.5,19.5,250,10.461
2021-01-15,380.242,-40.5,19.5,300,12.7732
2021-02-13,409.242,-40.5,19.5,0,0.019
2021-02-13,409.242,-40.5,19.5,10,0.1901
2021-02-13,409.242,-40.5,19.5,20,0.1789
2021-02-13,409.242,-40.5,19.5,30,0.0194
2021-02-13,409.242,-40.5,19.5,50,0.0118
2021-02-13,409.242,-40.5,19.5,75,0.0185
2021-02-13,409.242,-40.5,19.5,100,0.0206
2021-02-13,409.242,-40.5,19.5,125,0.607
2021-02-13,409.242,-40.5,19.5,150,2.369
2021-02-13,409.242,-40.5,19.5,200,5.8517
2021-02-13,409.242,-40.5,19.5,250,10.2712
2021-02-13,409.242,-40.5,19.5,300,13.2642
2021-03-14,438.742,-40.5,19.5,0,0.0091
2021-03-14,438.742,-40.5,19.5,10,0.3259
2021-03-14,438.742,-40.5,19.5,20,0.2507
2021-03-14,438.742,-40.5,19.5,30,0.0405
2021-03-14,438.742,-40.5,19.5,50,0.0208
2021-03-14,438.742,-40.5,19.5,75,0.0594
2021-03-14,438.742,-40.5,19.5,100,0.0722
2021-03-14,438.742,-40.5,19.5,125,0.1124
2021-03-14,438.742,-40.5,19.5,150,2.8741
2021-03-14,438.742,-40.5,19.5,200,6.5443
2021-03-14,438.742,-40.5,19.5,250,11.8698
2021-03-14,438.742,-40.5,19.5,300,13.9275
2021-04-14,469.242,-40.5,19.5,0,0.0665
2021-04-14,469.242,-40.5,19.5,10,0.412
2021-04-14,469.242,-40.5,19.5,20,0.3814
2021-04-14,469.242,-40.5,19.5,30,0.2169
2021-04-14,469.242,-40.5,19.5,50,0.1047
2021-04-14,469.242,-40.5,19.5,75,0.503
2021-04-14,469.242,-40.5,19.5,100,0.181
2021-04-14,469.242,-40.5,19.5,125,1.7752
2021-04-14,469.242,-40.5,19.5,150,2.9941
2021-04-14,469.242,-40.5,19.5,200,8.1432
2021-04-14,469.242,-40.5,19.5,250,11.0695
2021-04-14,469.242,-40.5,19.5,300,14.3222
2021-05-14,499.742,-40.5,19.5,0,0.0312
2021-05-14,499.742,-40.5,19.5,10,0.3626
2021-05-14,499.742,-40.5,19.5,20,0.3319
2021-05-14,499.742,-40.5,19.5,30,0.1944
2021-05-14,499.742,-40.5,19.5,50,0.0411
2021-05-14,499.742,-40.5,19.5,75,0.4256
2021-05-14,499.742,-40.5,19.5,100,0.0384
2021-05-14,499.742,-40.5,19.5,125,1.362
2021-05-14,499.742,-40.5,19.5,150,2.4478
2021-05-14,499.742,-40.5,19.5,200,7.5801
2021-05-14,499.742,-40.5,19.5,250,10.8519
2021-05-14,499.742,-40.5,19.5,300,14.1044
2021-06-14,530.242,-40.5,19.5,0,0.1199
2021-06-14,530.242,-40.5,19.5,10,0.4162
2021-06-14,530.242,-40.5,19.5,20,0.3821
2021-06-14,530.242,-40.5,19.5,30,0.2244
2021-06-14,530.242,-40.5,19.5,50,0.1685
2021-06-14,530.242,-40.5,19.5,75,0.5138
2021-06-14,530.242,-40.5,19.5,100,0.2824
2021-06-14,530.242,-40.5,19.5,125,1.6975
2021-06-14,530.242,-40.5,19.5,150,3.2177
2021-06-14,530.242,-40.5,19.5,200,7.9872
2021-06-14,530.242,-40.5,19.5,250,11.5664
2021-06-14,530.242,-40.5,19.5,300,14.3929
2021-07-14,560.742,-40.5,19.5,0,0.1886
2021-07-14,560.742,-40.5,19.5,10,0.45
2021-07-14,560.742,-40.5,19.5,20,0.4945
2021-07-14,560.742,-40.5,19.5,30,0.4179
2021-07-14,560.742,-40.5,19.5,50,0.3326
2021-07-14,560.742,-40.5,19.5,75,0.3225
2021-07-14,560.742,-40.5,19.5,100,0.1784
2021-07-14,560.742,-40.5,19.5,125,0.594
2021-07-14,560.742,-40.5,19.5,150,1.7087
2021-07-14,560.742,-40.5,19.5,200,7.3592
2021-07-14,560.742,-40.5,19.5,250,9.4743
