Total Number of Records            144.,,,,,
             DATA SET: https://data.pmel.noaa.gov/pmel/thredds/dodsC/data/PMEL/WOA05nc/monthly/i0112an1.nc,,,,,
             World Ocean Atlas 2005,,,,,
             X: 0.5 to 144.5,,,,,
 Column  1: DATETIME is Time String,,,,,
 Column  2: TIME is Time Coordinates (days since 01-JAN-0000 00:00:00)   BAD FLAG : -1.E+34,,,,,
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34,,,,,
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34,,,,,
 Column  5: DEP is depth (m)   BAD FLAG : -1.E+34,,,,,
 Column  6: I0112AN1 is Silicate (uM)   BAD FLAG : -1.E+34,,,,,
DATETIME,TIME,LON,LAT,DEP,I0112AN1
2021-01-15,380.242,-40.5,19.5,0,1.4283
2021-01-15,380.242,-40.5,19.5,10,1.4976
2021-01-15,380.242,-40.5,19.5,20,1.3836
2021-01-15,380.242,-40.5,19.5,30,0.8777
2021-01-15,380.242,-40.5,19.5,50,1.1728
2021-01-15,380.242,-40.5,19.5,75,0.7964
2021-01-15,380.242,-40.5,19.5,100,0.9509
2021-01-15,380.242,-40.5,19.5,125,1.0896
2021-01-15,380.242,-40.5,19.5,150,1.1534
2021-01-15,380.242,-40.5,19.5,200,1.1609
2021-01-15,380.242,-40.5,19.5,250,3.3142
2021-01-15,380.242,-40.5,19.5,300,4.2415
2021-02-13,409.242,-40.5,19.5,0,0.8591
2021-02-13,409.242,-40.5,19.5,10,0.7324
2021-02-13,409.242,-40.5,19.5,20,0.6953
2021-02-13,409.242,-40.5,19.5,30,0.6668
2021-02-13,409.242,-40.5,19.5,50,0.8168
2021-02-13,409.242,-40.5,19.5,75,0.6886
2021-02-13,409.242,-40.5,19.5,100,0.7423
2021-02-13,409.242,-40.5,19.5,125,1.1188
2021-02-13,409.242,-40.5,19.5,150,1.3893
2021-02-13,409.242,-40.5,19.5,200,1.7882
2021-02-13,409.242,-40.5,19.5,250,3.3813
2021-02-13,409.242,-40.5,19.5,300,4.4623
2021-03-14,438.742,-40.5,19.5,0,1.2855
2021-03-14,438.742,-40.5,19.5,10,0.9992
2021-03-14,438.742,-40.5,19.5,20,0.9009
2021-03-14,438.742,-40.5,19.5,30,0.9169
2021-03-14,438.742,-40.5,19.5,50,1.1165
2021-03-14,438.742,-40.5,19.5,75,0.5023
2021-03-14,438.742,-40.5,19.5,100,0.2353
2021-03-14,438.742,-40.5,19.5,125,0.4297
2021-03-14,438.742,-40.5,19.5,150,1.3511
2021-03-14,438.742,-40.5,19.5,200,1.4117
2021-03-14,438.742,-40.5,19.5,250,2.777
2021-03-14,438.742,-40.5,19.5,300,4.725
2021-04-14,469.242,-40.5,19.5,0,2.232
