Total Number of Records            144.,,,,,
             DATA SET: https://data.pmel.noaa.gov/pmel/thredds/dodsC/data/PMEL/WOA05nc/monthly/t0112an1.nc,,,,,
             World Ocean Atlas 2005,,,,,
             X: 0.5 to 144.5,,,,,
 Column  1: DATETIME is Time String,,,,,
 Column  2: TIME is Time Coordinates (days since 01-JAN-0000 00:00:00)   BAD FLAG : -1.E+34,,,,,
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34,,,,,
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34,,,,,
 Column  5: DEP is depth (m)   BAD FLAG : -1.E+34,,,,,
 Column  6: T0112AN1 is Temperature (deg C)   BAD FLAG : -1.E+34,,,,,
DATETIME,TIME,LON,LAT,DEP,T0112AN1
2021-01-15,380.242,-40.5,19.5,0,24.4988
2021-01-15,380.242,-40.5,19.5,10,24.552
2021-01-15,380.242,-40.5,19.5,20,24.5433
2021-01-15,380.242,-40.5,19.5,30,24.5379
2021-01-15,380.242,-40.5,19.5,50,24.5017
2021-01-15,380.242,-40.5,19.5,75,24.3698
2021-01-15,380.242,-40.5,19.5,100,23.4825
2021-01-15,380.242,-40.5,19.5,125,22.142
2021-01-15,380.242,-40.5,19.5,150,20.9671
2021-01-15,380.242,-40.5,19.5,200,18.6301
2021-01-15,380.242,-40.5,19.5,250,16.9552
2021-01-15,380.242,-40.5,19.5,300,15.6506
2021-02-13,409.242,-40.5,19.5,0,23.6946
2021-02-13,409.242,-40.5,19.5,10,23.816
2021-02-13,409.242,-40.5,19.5,20,23.8009
2021-02-13,409.242,-40.5,19.5,30,23.7916
2021-02-13,409.242,-40.5,19.5,50,23.7257
2021-02-13,409.242,-40.5,19.5,75,23.6305
2021-02-13,409.242,-40.5,19.5,100,23.2405
2021-02-13,409.242,-40.5,19.5,125,22.1518
2021-02-13,409.242,-40.5,19.5,150,20.8316
2021-02-13,409.242,-40.5,19.5,200,18.4982
2021-02-13,409.242,-40.5,19.5,250,16.9595
2021-02-13,409.242,-40.5,19.5,300,15.9355
2021-03-14,438.742,-40.5,19.5,0,23.9423
2021-03-14,438.742,-40.5,19.5,10,23.8909
2021-03-14,438.742,-40.5,19.5,20,23.8303
2021-03-14,438.742,-40.5,19.5,30,23.7917
2021-03-14,438.742,-40.5,19.5,50,23.705
2021-03-14,438.742,-40.5,19.5,75,23.5205
2021-03-14,438.742,-40.5,19.5,100,23.1175
2021-03-14,438.742,-40.5,19.5,125,22.0788
2021-03-14,438.742,-40.5,19.5,150,20.7565
2021-03-14,438.742,-40.5,19.5,200,18.497
2021-03-14,438.742,-40.5,19.5,250,16.7301
2021-03-14,438.742,-40.5,19.5,300,15.6916
2021-04-14,469.242,-40.5,19.5,0,23.8045
2021-04-14,469.242,-40.5,19.5,10,23.8616
2021-04-14,469.242,-40.5,19.5,20,23.804
2021-04-14,469.242,-40.5,19.5,30,23.7428
2021-04-14,469.242,-40.5,19.5,50,23.5916
2021-04-14,469.242,-40.5,19.5,75,23.2727
2021-04-14,469.242,-40.5,19.5,100,22.8761
2021-04-14,469.242,-40.5,19.5,125,22.2681
2021-04-14,469.242,-40.5,19.5,150,21.144
2021-04-14,469.242,-40.5,19.5,200,18.8541
2021-04-14,469.242,-40.5,19.5,250,17.1105
2021-04-14,469.242,-40.5,19.5,300,15.8041
2021-05-14,499.742,-40.5,19.5,0,24.5788
2021-05-14,499.742,-40.5,19.5,10,24.6576
2021-05-14,499.742,-40.5,19.5,20,24.5861
2021-05-14,499.742,-40.5,19.5,30,24.4534
2021-05-14,499.742,-40.5,19.5,50,24.1195
2021-05-14,499.742,-40.5,19.5,75,23.6684
2021-05-14,499.742,-40.5,19.5,100,23.1567
2021-05-14,499.742,-40.5,19.5,125,22.4206
2021-05-14,499.742,-40.5,19.5,150,21.3314
2021-05-14,499.742,-40.5,19.5,200,19.0105
2021-05-14,499.742,-40.5,19.5,250,17.208
2021-05-14,499.742,-40.5,19.5,300,15.8344
2021-06-14,530.242,-40.5,19.5,0,25.6416
2021-06-14,530.242,-40.5,19.5,10,25.635
2021-06-14,530.242,-40.5,19.5,20,25.5561
2021-06-14,530.242,-40.5,19.5,30,25.4043
2021-06-14,530.242,-40.5,19.5,50,24.8587
2021-06-14,530.242,-40.5,19.5,75,23.9828
2021-06-14,530.242,-40.5,19.5,100,23.2258
2021-06-14,530.242,-40.5,19.5,125,22.5057
2021-06-14,530.242,-40.5,19.5,150,21.4227
2021-06-14,530.242,-40.5,19.5,200,19.0638
2021-06-14,530.242,-40.5,19.5,250,17.271
2021-06-14,530.242,-40.5,19.5,300,15.8769
2021-07-14,560.742,-40.5,19.5,0,25.661
2021-07-14,560.742,-40.5,19.5,10,25.8937
2021-07-14,560.742,-40.5,19.5,20,25.8408
2021-07-14,560.742,-40.5,19.5,30,25.7995
2021-07-14,560.742,-40.5,19.5,50,25.3557
2021-07-14,560.742,-40.5,19.5,75,24.2034
2021-07-14,560.742,-40.5,19.5,100,23.3528
2021-07-14,560.742,-40.5,19.5,125,22.4659
2021-07-14,560.742,-40.5,19.5,150,21.4107
2021-07-14,560.742,-40.5,19.5,200,19.0529
2021-07-14,560.742,-40.5,19.5,250,17.3587
2021-07-14,560.742,-40.5,19.5,300,16.0218
2021-08-14,591.742,-40.5,19.5,0,26.2847
2021-08-14,591.742,-40.5,19.5,10,26.2888
2021-08-14,591.742,-40.5,19.5,20,26.2531
2021-08-14,591.742,-40.5,19.5,30,26.2158
2021-08-14,591.742,-40.5,19.5,50,25.7947
2021-08-14,591.742,-40.5,19.5,75,24.329
2021-08-14,591.742,-40.5,19.5,100,23.3385
2021-08-14,591.742,-40.5,19.5,125,22.4478
2021-08-14,591.742,-40.5,19.5,150,21.3801
2021-08-14,591.742,-40.5,19.5,200,19.0134
2021-08-14,591.742,-40.5,19.5,250,17.1975
2021-08-14,591.742,-40.5,19.5,300,15.8155
2021-09-14,622.242,-40.5,19.5,0,26.9081
2021-09-14,622.242,-40.5,19.5,10,26.8682
2021-09-14,622.242,-40.5,19.5,20,26.7937
2021-09-14,622.242,-40.5,19.5,30,26.7075
2021-09-14,622.242,-40.5,19.5,50,26.1366
2021-09-14,622.242,-40.5,19.5,75,24.2364
2021-09-14,622.242,-40.5,19.5,100,23.1603
2021-09-14,622.242,-40.5,19.5,125,22.2235
2021-09-14,622.242,-40.5,19.5,150,21.1925
2021-09-14,622.242,-40.5,19.5,200,18.981
2021-09-14,622.242,-40.5,19.5,250,17.2603
2021-09-14,622.242,-40.5,19.5,300,15.9122
2021-10-14,652.742,-40.5,19.5,0,26.6476
2021-10-14,652.742,-40.5,19.5,10,26.6936
2021-10-14,652.742,-40.5,19.5,20,26.6614
2021-10-14,652.742,-40.5,19.5,30,26.6369
2021-10-14,652.742,-40.5,19.5,50,26.3813
2021-10-14,652.742,-40.5,19.5,75,24.6593
2021-10-14,652.742,-40.5,19.5,100,23.1683
2021-10-14,652.742,-40.5,19.5,125,22.1555
2021-10-14,652.742,-40.5,19.5,150,21.0892
2021-10-14,652.742,-40.5,19.5,200,18.8296
2021-10-14,652.742,-40.5,19.5,250,17.1568
2021-10-14,652.742,-40.5,19.5,300,15.9255
2021-11-14,683.742,-40.5,19.5,0,26.2387
2021-11-14,683.742,-40.5,19.5,10,26.3549
2021-11-14,683.742,-40.5,19.5,20,26.3328
2021-11-14,683.742,-40.5,19.5,30,26.3239
2021-11-14,683.742,-40.5,19.5,50,26.2216
2021-11-14,683.742,-40.5,19.5,75,24.8932
2021-11-14,683.742,-40.5,19.5,100,23.2067
2021-11-14,683.742,-40.5,19.5,125,22.0966
2021-11-14,683.742,-40.5,19.5,150,20.9971
2021-11-14,683.742,-40.5,19.5,200,18.6525
2021-11-14,683.742,-40.5,19.5,250,17.0018
2021-11-14,683.742,-40.5,19.5,300,15.7154
2021-12-15,714.242,-40.5,19.5,0,25.5479
2021-12-15,714.242,-40.5,19.5,10,25.6021
2021-12-15,714.242,-40.5,19.5,20,25.596
2021-12-15,714.242,-40.5,19.5,30,25.5925
2021-12-15,714.242,-40.5,19.5,50,25.5637
2021-12-15,714.242,-40.5,19.5,75,25.0587
2021-12-15,714.242,-40.5,19.5,100,23.2759
2021-12-15,714.242,-40.5,19.5,125,21.9473
2021-12-15,714.242,-40.5,19.5,150,20.9241
2021-12-15,714.242,-40.5,19.5,200,18.6228
2021-12-15,714.242,-40.5,19.5,250,17.0438
2021-12-15,714.242,-40.5,19.5,300,15.6798
