Total Number of Records            312.,,,,,
             DATA SET: https://data.pmel.noaa.gov/pmel/thredds/dodsC/data/PMEL/WOA05nc/monthly/n0112an1.nc,,,,,
             World Ocean Atlas 2005,,,,,
             X: 0.5 to 312.5,,,,,
 Column  1: DATETIME is Time String,,,,,
 Column  2: TIME is Time Coordinates (days since 01-JAN-0000 00:00:00)   BAD FLAG : -1.E+34,,,,,
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34,,,,,
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34,,,,,
 Column  5: DEP is depth (m)   BAD FLAG : -1.E+34,,,,,
 Column  6: N0112AN1 is Nitrate (uM)   BAD FLAG : -1.E+34,,,,,
DATETIME,TIME,LON,LAT,DEP,N0112AN1
2021-01-15,380.242,-103.5,-10.5,10,5.8403
2021-01-15,380.242,-102.5,-10.5,10,6.0388
2021-01-15,380.242,-101.5,-10.5,10,6.197
2021-01-15,380.242,-100.5,-10.5,10,6.3195
2021-01-15,380.242,-99.5,-10.5,10,6.3996
2021-01-15,380.242,-98.5,-10.5,10,6.4124
2021-01-15,380.242,-97.5,-10.5,10,6.375
2021-01-15,380.242,-96.5,-10.5,10,6.3585
2021-01-15,380.242,-95.5,-10.5,10,6.4426
2021-01-15,380.242,-94.5,-10.5,10,6.6907
2021-01-15,380.242,-93.5,-10.5,10,7.1312
2021-01-15,380.242,-92.5,-10.5,10,7.5983
2021-01-15,380.242,-91.5,-10.5,10,7.9562
2021-01-15,380.242,-90.5,-10.5,10,8.1684
2021-01-15,380.242,-89.5,-10.5,10,8.1383
2021-01-15,380.242,-88.5,-10.5,10,7.9209
2021-01-15,380.242,-87.5,-10.5,10,7.6347
2021-01-15,380.242,-86.5,-10.5,10,7.3298
2021-01-15,380.242,-85.5,-10.5,10,7.0458
2021-01-15,380.242,-84.5,-10.5,10,6.7276
2021-01-15,380.242,-83.5,-10.5,10,6.219
2021-01-15,380.242,-82.5,-10.5,10,5.3603
2021-01-15,380.242,-81.5,-10.5,10,4.4082
2021-01-15,380.242,-80.5,-10.5,10,3.6346
2021-01-15,380.242,-79.5,-10.5,10,3.3433
2021-01-15,380.242,-78.5,-10.5,10,4.0657
2021-02-13,409.242,-103.5,-10.5,10,0.2578
2021-02-13,409.242,-102.5,-10.5,10,0.2967
2021-02-13,409.242,-101.5,-10.5,10,0.8996
2021-02-13,409.242,-100.5,-10.5,10,2.1762
2021-02-13,409.242,-99.5,-10.5,10,3.43
2021-02-13,409.242,-98.5,-10.5,10,4.3864
2021-02-13,409.242,-97.5,-10.5,10,4.9486
2021-02-13,409.242,-96.5,-10.5,10,5.193
2021-02-13,409.242,-95.5,-10.5,10,5.3622
2021-02-13,409.242,-94.5,-10.5,10,5.674
2021-02-13,409.242,-93.5,-10.5,10,6.1774
2021-02-13,409.242,-92.5,-10.5,10,6.6177
2021-02-13,409.242,-91.5,-10.5,10,6.6965
2021-02-13,409.242,-90.5,-10.5,10,6.2859
2021-02-13,409.242,-89.5,-10.5,10,5.5948
2021-02-13,409.242,-88.5,-10.5,10,5.041
2021-02-13,409.242,-87.5,-10.5,10,4.8073
2021-02-13,409.242,-86.5,-10.5,10,4.7737
2021-02-13,409.242,-85.5,-10.5,10,4.7301
2021-02-13,409.242,-84.5,-10.5,10,4.463
2021-02-13,409.242,-83.5,-10.5,10,3.9606
2021-02-13,409.242,-82.5,-10.5,10,3.4042
2021-02-13,409.242,-81.5,-10.5,10,3.0309
2021-02-13,409.242,-80.5,-10.5,10,3.1084
2021-02-13,409.242,-79.5,-10.5,10,3.7917
2021-02-13,409.242,-78.5,-10.5,10,5.7876
2021-03-14,438.742,-103.5,-10.5,10,5.6958
2021-03-14,438.742,-102.5,-10.5,10,6.1743
2021-03-14,438.742,-101.5,-10.5,10,6.4531
2021-03-14,438.742,-100.5,-10.5,10,6.5324
2021-03-14,438.742,-99.5,-10.5,10,6.4154
2021-03-14,438.742,-98.5,-10.5,10,6.2485
2021-03-14,438.742,-97.5,-10.5,10,6.014
2021-03-14,438.742,-96.5,-10.5,10,5.5944
2021-03-14,438.742,-95.5,-10.5,10,5.3006
2021-03-14,438.742,-94.5,-10.5,10,5.2424
2021-03-14,438.742,-93.5,-10.5,10,5.7994
2021-03-14,438.742,-92.5,-10.5,10,6.3149
2021-03-14,438.742,-91.5,-10.5,10,6.9
2021-03-14,438.742,-90.5,-10.5,10,7.0138
2021-03-14,438.742,-89.5,-10.5,10,6.6223
2021-03-14,438.742,-88.5,-10.5,10,5.8417
2021-03-14,438.742,-87.5,-10.5,10,4.7904
2021-03-14,438.742,-86.5,-10.5,10,3.6994
2021-03-14,438.742,-85.5,-10.5,10,2.7812
2021-03-14,438.742,-84.5,-10.5,10,2.1386
2021-03-14,438.742,-83.5,-10.5,10,1.7563
2021-03-14,438.742,-82.5,-10.5,10,1.6478
2021-03-14,438.742,-81.5,-10.5,10,1.9189
2021-03-14,438.742,-80.5,-10.5,10,2.7412
2021-03-14,438.742,-79.5,-10.5,10,4.2397
2021-03-14,438.742,-78.5,-10.5,10,6.9487
2021-04-14,469.242,-103.5,-10.5,10,3.4724
2021-04-14,469.242,-102.5,-10.5,10,3.8312
2021-04-14,469.242,-101.5,-10.5,10,4.1475
2021-04-14,469.242,-100.5,-10.5,10,4.5494
2021-04-14,469.242,-99.5,-10.5,10,5.3522
2021-04-14,469.242,-98.5,-10.5,10,5.8379
2021-04-14,469.242,-97.5,-10.5,10,6.0742
2021-04-14,469.242,-96.5,-10.5,10,5.6369
